"RespondentID","Gender","Age","AgeGroup","EducationLevel","IncomeGroup","Income","CarOwnership","PrimaryMode","TripDistance_km","TripTime_min","TripsPerDay","YearsDriving","ResidentialZone","PS1","PS2","PS3","PS4","PS5","SQ1","SQ2","SQ3","SQ4","EA1","EA2","EA3","EA4","BI1","BI2","BI3","AB1","AB2","AB3"
1,2,32,2,3,3,41093,1,2,11.1,49,3,14,2,4,3,2,1,3,2,2,1,2,3,3,3,3,3,3,2,2,1,2
2,2,28,2,1,4,140769,0,4,35.7,145,1,6,1,4,2,2,4,1,3,3,4,2,2,2,1,2,5,3,4,4,4,4
3,1,46,4,3,1,9477,0,3,13,38,2,23,3,3,3,4,2,2,1,2,2,1,3,2,2,1,2,1,2,2,3,1
4,2,54,4,4,2,17564,0,1,12.6,43,3,32,2,3,2,3,2,2,1,1,1,1,2,1,2,3,3,2,2,2,3,2
5,1,32,2,5,3,48227,0,4,1.8,8,3,9,3,3,3,3,3,2,4,3,4,4,3,4,3,3,3,3,3,3,3,3
6,2,29,2,4,3,37689,1,3,23.3,67,2,7,1,3,3,3,4,1,3,4,2,3,2,2,2,2,4,4,2,3,3,2
7,1,20,1,4,4,136937,1,3,9.8,31,1,1,3,3,4,2,3,2,3,4,3,2,1,2,2,2,4,3,3,4,3,3
8,1,42,3,2,3,38949,0,1,23.5,64,2,23,2,3,2,2,2,2,4,3,2,3,3,2,3,1,4,4,2,2,4,2
9,1,44,3,4,3,32040,0,2,14.3,44,1,23,2,1,1,1,2,2,2,2,2,1,2,3,2,1,2,2,2,1,1,1
10,1,40,3,2,1,13002,0,1,29.1,87,2,19,1,2,1,1,1,2,3,3,1,2,4,3,5,2,3,3,2,3,3,3
11,1,25,1,4,3,32107,0,2,46.1,205,1,5,4,2,2,1,2,2,2,2,2,3,2,2,1,2,3,2,2,2,3,2
12,1,40,3,3,2,18841,0,2,8,25,2,18,3,3,3,2,3,2,4,4,2,4,3,3,2,2,3,2,1,2,1,2
13,1,19,1,1,2,15444,0,4,4,13,1,1,1,3,3,4,4,2,2,3,3,3,3,2,3,3,3,4,3,2,3,3
14,1,53,4,2,2,24902,0,1,6.2,16,3,34,1,2,3,3,3,2,3,3,3,2,3,3,4,2,4,4,3,3,2,2
15,1,30,2,4,4,91956,1,2,12.9,45,4,9,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2
16,1,31,2,3,2,29510,1,2,37,98,5,10,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,3,3
17,2,29,2,4,3,31984,0,1,11.9,53,4,9,1,2,2,2,2,2,2,3,2,1,2,3,2,4,1,2,2,3,3,3
18,1,47,4,5,2,15875,0,2,5.8,16,5,26,2,3,2,3,3,2,3,3,3,3,4,4,2,3,3,2,2,4,3,3
19,1,40,3,5,3,48059,0,4,7.4,27,3,22,4,2,1,1,1,1,3,3,2,3,3,1,2,3,2,1,2,1,2,1
20,1,32,2,3,2,26607,0,1,14.2,61,1,10,1,1,1,1,2,1,1,2,2,1,2,2,2,1,3,1,1,3,2,2
21,1,22,1,2,3,41789,0,2,48.2,164,3,3,1,3,3,2,4,1,2,4,4,2,3,3,3,3,3,4,4,3,2,3
22,1,56,5,4,2,27490,0,1,16.1,67,4,34,1,2,3,2,2,2,3,3,2,2,3,4,3,3,3,3,3,2,2,2
23,1,33,2,4,2,23945,0,3,14.5,66,3,11,1,3,4,2,3,2,4,3,2,3,3,3,4,3,4,4,4,4,5,4
24,1,34,2,3,2,28251,0,2,4.1,13,6,16,1,2,3,2,3,2,2,3,3,2,4,2,3,3,2,2,2,4,2,2
25,1,34,2,3,3,44651,1,2,19,52,3,14,1,3,3,2,4,2,2,3,2,2,2,3,2,2,3,2,3,2,3,1
26,1,69,5,5,2,15580,0,4,11.8,30,2,47,2,2,1,2,2,2,1,3,2,2,2,3,2,2,1,2,1,3,2,3
27,1,24,1,4,3,41189,0,3,31.5,145,1,1,2,3,3,2,3,1,2,3,2,3,2,2,1,2,2,2,2,3,3,2
28,2,30,2,2,3,37634,0,3,8.6,26,2,12,1,3,3,2,4,2,3,2,3,2,3,3,3,3,2,2,2,2,2,3
29,1,29,2,4,3,38514,0,1,12.9,64,2,8,3,2,1,1,1,1,2,2,1,2,3,3,2,2,1,2,1,1,2,2
30,2,20,1,4,2,26975,0,3,45.3,192,2,1,2,2,2,1,2,3,2,4,3,2,4,4,4,2,3,3,3,3,3,4
31,2,50,4,4,3,44183,0,2,8.7,27,2,27,1,2,2,2,2,1,3,3,2,3,2,2,3,2,2,1,1,2,1,1
32,1,27,2,5,4,69523,1,3,7.1,23,5,5,1,3,1,2,2,1,2,2,2,1,3,3,2,2,2,3,3,3,2,3
33,1,20,1,3,2,27530,0,1,38.2,182,2,1,1,3,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2
34,1,38,3,5,2,29189,0,2,6.6,29,3,19,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,2
35,2,32,2,5,NA,NA,0,3,11.6,38,2,12,3,2,3,2,2,2,2,1,2,2,4,3,3,3,2,1,2,1,1,1
36,1,38,3,3,4,66924,1,4,44.4,193,2,20,2,4,3,2,2,2,3,2,3,3,3,2,3,3,4,2,3,4,4,4
37,1,33,2,5,3,47483,0,4,70.5,344,1,11,2,3,2,3,3,2,3,2,3,2,3,4,4,3,3,2,3,2,2,2
38,1,40,3,3,1,13633,0,1,13.3,42,5,18,2,2,2,2,3,2,3,3,3,2,2,2,3,3,2,1,3,1,3,2
39,2,28,2,2,3,34092,0,1,5.8,21,6,10,2,3,3,2,2,1,2,1,2,2,2,1,1,1,3,2,1,2,3,3
40,1,27,2,2,4,102400,0,2,19.3,86,2,8,2,3,3,3,2,1,5,3,3,3,2,2,3,3,5,3,3,3,2,NA
41,1,28,2,4,3,41992,1,2,7.1,26,3,8,3,2,2,1,3,1,3,2,3,2,2,2,1,2,2,1,3,2,1,1
42,1,29,2,4,NA,NA,0,2,9.5,36,3,8,4,2,3,2,2,NA,2,3,2,3,4,3,3,3,3,2,3,3,1,2
43,1,41,3,2,1,13631,0,3,23.5,108,3,23,1,3,1,2,3,1,3,2,3,2,2,2,1,1,3,3,3,3,2,4
44,1,49,4,4,3,34992,1,2,13.9,52,3,28,1,4,4,3,3,4,3,3,3,3,3,3,2,1,4,3,3,3,4,3
45,1,29,2,4,2,27475,0,2,12.9,56,2,9,2,2,2,1,2,2,1,1,1,1,3,3,3,1,3,2,3,3,3,2
46,1,19,1,5,NA,NA,1,3,17.8,78,3,1,1,3,3,2,2,1,3,2,2,2,3,3,4,3,3,2,4,3,3,3
47,2,37,3,4,2,18839,0,1,11.8,35,3,19,1,2,4,2,4,3,2,2,2,2,3,3,2,1,2,3,3,2,1,3
48,2,31,2,4,2,15899,0,2,12.6,51,3,9,2,2,2,3,2,2,4,3,4,3,4,3,3,2,3,3,3,3,3,2
49,1,27,2,4,3,48898,0,2,12.9,48,3,4,1,3,3,3,3,2,2,2,2,2,3,2,2,1,3,1,3,2,2,2
50,1,27,2,5,2,19565,0,2,41.3,161,2,6,2,4,5,3,4,3,3,3,3,2,3,2,3,3,4,4,3,4,5,4
51,1,69,5,3,3,32794,0,1,10.5,48,1,47,3,3,1,2,2,1,5,3,2,2,3,4,3,3,3,3,2,3,4,3
52,1,28,2,4,4,61904,0,3,12.9,54,3,6,2,3,1,2,2,2,1,2,2,2,4,3,3,3,3,2,3,3,3,4
53,2,49,4,4,4,89584,1,2,19.2,73,3,29,3,1,2,1,1,NA,3,2,2,3,1,2,2,1,2,1,1,1,1,1
54,1,23,1,5,1,10521,0,2,35.7,120,3,2,3,2,2,1,2,1,2,3,2,1,3,3,3,2,2,1,2,1,1,2
55,1,20,1,4,2,23985,1,3,18.7,76,5,1,4,2,1,2,3,1,4,4,4,3,2,1,3,2,4,2,3,4,4,4
56,1,33,2,5,2,15595,0,2,3,9,2,12,1,2,1,2,1,2,1,2,2,2,2,1,2,1,3,3,2,2,2,1
57,2,40,3,4,3,43744,0,1,8.1,35,3,22,2,4,3,3,3,2,2,2,1,2,3,2,3,2,2,2,2,1,3,1
58,1,22,1,2,2,26423,0,2,38.3,137,3,1,1,3,3,1,3,2,4,3,3,3,3,3,2,2,2,2,2,2,4,NA
59,1,31,2,5,2,25402,0,2,6.5,32,3,12,1,3,2,3,3,3,3,3,4,3,3,3,3,1,3,3,1,3,4,3
60,1,50,4,4,2,29868,0,1,51.7,251,4,30,2,2,3,2,1,2,3,1,2,3,4,3,2,2,1,1,3,4,4,2
61,1,34,2,4,4,71711,1,2,34.2,139,2,16,2,5,4,3,4,3,3,4,3,3,4,3,2,2,5,4,4,3,4,3
62,2,37,3,4,2,22832,0,2,10,41,1,18,1,2,3,3,2,1,3,3,2,3,3,3,2,2,3,3,2,4,2,2
63,1,20,1,4,2,16791,0,2,27.3,76,2,1,1,4,3,3,3,3,1,2,2,1,2,3,3,2,2,4,2,3,3,2
64,1,37,3,4,3,36832,0,4,18.4,81,2,14,3,2,3,3,2,2,3,4,3,3,3,1,1,1,3,3,3,3,3,2
65,1,69,5,4,1,10262,0,3,28.2,111,3,49,1,3,3,2,4,2,2,3,3,2,3,3,2,2,4,2,2,2,2,1
66,2,30,2,3,2,19970,0,2,15.1,52,2,8,3,2,1,2,2,2,2,3,1,1,2,2,2,2,2,2,3,3,2,4
67,1,49,4,4,2,21955,0,1,53.7,192,3,26,4,1,2,1,1,1,2,1,2,2,2,2,3,1,1,1,1,2,1,2
68,2,40,3,5,NA,NA,1,1,13.5,64,5,20,3,3,3,2,1,2,3,2,2,2,3,4,4,3,2,2,3,1,2,1
69,2,18,1,4,1,11068,0,3,12.1,47,2,1,2,4,3,2,2,2,3,3,2,3,1,1,2,2,3,2,1,2,3,2
70,1,46,4,2,2,16320,0,1,16.3,54,2,27,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
71,1,34,2,3,1,8317,0,3,4.8,15,5,15,1,4,2,1,3,3,2,2,2,3,4,3,3,3,4,3,3,3,3,3
72,2,22,1,4,NA,NA,0,2,18.9,53,2,3,1,2,2,1,3,1,3,3,2,1,3,2,2,3,2,2,2,1,2,NA
73,1,28,2,3,4,63235,0,1,16.1,77,3,9,3,2,3,2,3,2,2,2,1,2,2,2,2,1,2,3,2,2,2,3
74,1,36,3,4,2,19510,0,1,6.7,32,2,18,1,2,2,2,3,2,1,3,1,2,1,2,1,2,3,2,2,2,4,3
75,2,63,5,5,2,15191,0,2,75.8,197,2,44,3,2,2,2,3,3,3,2,2,3,4,3,3,2,3,2,2,2,1,3
76,1,47,4,2,1,9288,0,1,6.8,30,2,29,1,2,1,1,2,1,4,4,3,2,4,3,4,3,4,3,2,2,3,4
77,1,24,1,5,4,85853,1,3,9,39,3,2,1,4,3,3,4,2,2,3,3,2,3,3,2,2,4,3,2,3,3,4
78,2,50,4,3,NA,NA,0,1,10.1,34,5,30,1,3,4,3,3,3,3,3,3,3,3,4,2,3,4,3,4,3,4,3
79,2,68,5,1,1,8390,0,1,14.7,65,3,45,2,2,2,2,2,2,3,3,3,3,2,1,1,2,3,2,2,1,1,2
80,1,31,2,5,2,22177,1,2,27.5,99,2,12,2,4,2,2,2,1,2,3,3,4,2,2,2,1,3,2,3,1,1,3
81,1,19,1,3,3,49424,1,1,4.5,19,2,1,3,1,2,2,2,1,1,2,3,1,1,1,1,1,2,1,2,2,2,2
82,2,28,2,3,2,25347,0,3,7.4,27,5,9,1,2,3,2,2,3,2,2,2,1,2,2,3,2,3,3,2,3,3,4
83,2,66,5,5,2,25071,1,2,3.6,16,2,43,1,4,4,2,2,4,4,3,2,2,3,2,2,2,4,3,2,3,2,3
84,1,32,2,4,4,66883,1,2,14.8,39,2,14,2,1,1,2,1,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1
85,1,23,1,3,3,31841,1,3,4.3,16,5,1,1,2,3,1,3,3,4,2,2,4,1,1,2,1,4,4,2,3,3,3
86,2,18,1,4,2,28452,0,2,6.3,23,3,1,2,3,2,4,3,2,3,4,4,3,5,3,3,3,4,3,3,3,3,4
87,2,60,5,2,3,49389,1,4,56.6,197,2,38,3,3,3,2,3,2,3,2,2,2,2,2,1,1,3,2,4,3,4,2
88,2,33,2,4,1,10405,0,1,18.9,69,2,13,3,3,3,2,3,2,2,2,1,2,2,2,1,2,4,3,2,2,2,2
89,1,40,3,5,2,23015,1,1,41.4,169,2,20,4,3,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1
